date_key,datetime,year,month,day,hour,time_of_day,quarter,week,day_of_week,season,is_weekend_or_holiday
1,2021-01-01 00:00:00,2021,1,1,0,Night,1,53,4,Winter,True
2,2021-01-01 01:00:00,2021,1,1,1,Night,1,53,4,Winter,True
3,2021-01-01 02:00:00,2021,1,1,2,Night,1,53,4,Winter,True
4,2021-01-01 03:00:00,2021,1,1,3,Night,1,53,4,Winter,True
5,2021-01-01 04:00:00,2021,1,1,4,Night,1,53,4,Winter,True
6,2021-01-01 05:00:00,2021,1,1,5,Morning,1,53,4,Winter,True
7,2021-01-01 06:00:00,2021,1,1,6,Morning,1,53,4,Winter,True
8,2021-01-01 07:00:00,2021,1,1,7,Morning,1,53,4,Winter,True
9,2021-01-01 08:00:00,2021,1,1,8,Morning,1,53,4,Winter,True
10,2021-01-01 09:00:00,2021,1,1,9,Morning,1,53,4,Winter,True
11,2021-01-01 10:00:00,2021,1,1,10,Morning,1,53,4,Winter,True
12,2021-01-01 11:00:00,2021,1,1,11,Morning,1,53,4,Winter,True
13,2021-01-01 12:00:00,2021,1,1,12,Afternoon,1,53,4,Winter,True
14,2021-01-01 13:00:00,2021,1,1,13,Afternoon,1,53,4,Winter,True
15,2021-01-01 14:00:00,2021,1,1,14,Afternoon,1,53,4,Winter,True
16,2021-01-01 15:00:00,2021,1,1,15,Afternoon,1,53,4,Winter,True
17,2021-01-01 16:00:00,2021,1,1,16,Afternoon,1,53,4,Winter,True
18,2021-01-01 17:00:00,2021,1,1,17,Afternoon,1,53,4,Winter,True
19,2021-01-01 18:00:00,2021,1,1,18,Evening,1,53,4,Winter,True
20,2021-01-01 19:00:00,2021,1,1,19,Evening,1,53,4,Winter,True
21,2021-01-01 20:00:00,2021,1,1,20,Evening,1,53,4,Winter,True
22,2021-01-01 21:00:00,2021,1,1,21,Night,1,53,4,Winter,True
23,2021-01-01 22:00:00,2021,1,1,22,Night,1,53,4,Winter,True
24,2021-01-01 23:00:00,2021,1,1,23,Night,1,53,4,Winter,True
25,2021-01-02 00:00:00,2021,1,2,0,Night,1,53,5,Winter,False
26,2021-01-02 01:00:00,2021,1,2,1,Night,1,53,5,Winter,False
27,2021-01-02 02:00:00,2021,1,2,2,Night,1,53,5,Winter,False
28,2021-01-02 03:00:00,2021,1,2,3,Night,1,53,5,Winter,False
29,2021-01-02 04:00:00,2021,1,2,4,Night,1,53,5,Winter,False
30,2021-01-02 05:00:00,2021,1,2,5,Morning,1,53,5,Winter,False
31,2021-01-02 06:00:00,2021,1,2,6,Morning,1,53,5,Winter,False
32,2021-01-02 07:00:00,2021,1,2,7,Morning,1,53,5,Winter,False
33,2021-01-02 08:00:00,2021,1,2,8,Morning,1,53,5,Winter,False
34,2021-01-02 09:00:00,2021,1,2,9,Morning,1,53,5,Winter,False
35,2021-01-02 10:00:00,2021,1,2,10,Morning,1,53,5,Winter,False
36,2021-01-02 11:00:00,2021,1,2,11,Morning,1,53,5,Winter,False
37,2021-01-02 12:00:00,2021,1,2,12,Afternoon,1,53,5,Winter,False
38,2021-01-02 13:00:00,2021,1,2,13,Afternoon,1,53,5,Winter,False
39,2021-01-02 14:00:00,2021,1,2,14,Afternoon,1,53,5,Winter,False
40,2021-01-02 15:00:00,2021,1,2,15,Afternoon,1,53,5,Winter,False
41,2021-01-02 16:00:00,2021,1,2,16,Afternoon,1,53,5,Winter,False
42,2021-01-02 17:00:00,2021,1,2,17,Afternoon,1,53,5,Winter,False
43,2021-01-02 18:00:00,2021,1,2,18,Evening,1,53,5,Winter,False
44,2021-01-02 19:00:00,2021,1,2,19,Evening,1,53,5,Winter,False
45,2021-01-02 20:00:00,2021,1,2,20,Evening,1,53,5,Winter,False
46,2021-01-02 21:00:00,2021,1,2,21,Night,1,53,5,Winter,False
47,2021-01-02 22:00:00,2021,1,2,22,Night,1,53,5,Winter,False
48,2021-01-02 23:00:00,2021,1,2,23,Night,1,53,5,Winter,False
49,2021-01-03 00:00:00,2021,1,3,0,Night,1,53,6,Winter,False
50,2021-01-03 01:00:00,2021,1,3,1,Night,1,53,6,Winter,False
51,2021-01-03 02:00:00,2021,1,3,2,Night,1,53,6,Winter,False
52,2021-01-03 03:00:00,2021,1,3,3,Night,1,53,6,Winter,False
53,2021-01-03 04:00:00,2021,1,3,4,Night,1,53,6,Winter,False
54,2021-01-03 05:00:00,2021,1,3,5,Morning,1,53,6,Winter,False
55,2021-01-03 06:00:00,2021,1,3,6,Morning,1,53,6,Winter,False
